周末|zhōumò|noun|weekend|3|1
打算|dǎsuàn|noun/verb|plan, to intend|3|1
啊|a|particle|used at the end of a sentence to indicate confirmation or defense|3|1
跟|gēn|preposition|with|3|1
小丽|Xiǎolì||proper noun|3|1
小刚|Xiǎogāng||proper noun|3|1
一直|yìzhí|adverb|all the time|3|1
游戏|yóuxì|noun|game|3|1
作业|zuòyè|noun|homework|3|1
着急|zháojí|adjective|worried, anxious|3|1
复习|fùxí|verb|to review|3|1
南(方)|nán (fāng)|noun|south, southern part|3|1
北(方)|běifāng|noun|north, northern part|3|1
面包|miànbāo|noun|bread|3|1
带|dài|verb|to take along, to bring|3|1
地图|dìtú|noun|map|3|1
搬|bān|verb|to move, to carry|3|1
腿|tuǐ|noun|leg|3|2
疼|téng|adjective|hurt, painful|3|2
脚|jiǎo|noun|foot|3|2
树|shù|noun|tree|3|2
容易|róngyì|adjective|easy|3|2
难|nán|adjective|difficult|3|2
太太|tàitai|noun|Mrs., madam|3|2
秘书|mìshū|noun|secretary|3|2
经理|jīnglǐ|noun|manager|3|2
办公室|bàngōngshì|noun|office|3|2
周|Zhōu|A surname|proper noun|3|2
周明|Zhōu Míng||proper noun|3|2
辆|liàng|measure word|used for vehicles|3|2
楼|lóu|noun|building|3|2
拿|ná|verb|to take, to fetch|3|2
把|bǎ|measure word|used for things with a handle|3|2
伞|sǎn|noun|umbrella|3|2
胖|pàng|adjective|fat|3|2
其实|qíshí|adverb|actually|3|2
瘦|shòu|adjective|thin|3|2
还是|háishì|conjunction|or|3|3
爬山|páshān|verb|to climb a mountain|3|3
小心|xiǎoxīn|adjective|careful|3|3
条|tiáo|measure word|used for pants, dresses, etc.|3|3
裤子|kùzi|noun|pants|3|3
记得|jìdé|verb|to remember|3|3
衬衫|chènshān|noun|shirt|3|3
元|yuán|measure word|unit of money|3|3
新鲜|xīnxiān|adjective|fresh|3|3
甜|tián|adjective|sweet|3|3
只|zhǐ|adverb|only, solely|3|3
放|fàng|verb|to put, to place|3|3
饮料|yǐnliào|noun|drink, beverage|3|3
或者|huòzhě|conjunction|or|3|3
舒服|shūfú|adjective|comfortable|3|3
花|huā|noun|flower|3|3
绿|lǜ|adjective|green|3|3
比赛|bǐsài|noun|match, competition|3|4
照片|zhàopiàn|noun|photo|3|4
年级|niánjí|noun|grade|3|4
又|yòu|adverb|and|3|4
小明|Xiǎomíng|proper noun||3|4
马可|Mǎkě|proper noun|Marco|3|4
聪明|cōngming|adjective|clever, smart|3|4
热情|rèqíng|adjective|warm, enthusiastic|3|4
努力|nǔlì|adjective|hard-working|3|4
总是|zǒngshì|adverb|always|3|4
回答|huídá|verb|to answer|3|4
站|zhàn|verb|to stand|3|4
饿|è|adjective|hungry|3|4
超市|chāoshì|noun|supermarket|3|4
蛋糕|dàngāo|noun|cake|3|4
年轻|niánqīng|adjective|young|3|4
认真|rènzhēn|adjective|serious, earnest|3|4
客人|kèrén|noun|customer, guest|3|4
李小美|Lǐ Xiǎoměi|proper noun||3|4
发烧|fā shāo|verb|to have a fever|3|5
为|wèi|preposition|for|3|5
照顾|zhàogù|verb|to take care of|3|5
用|yòng|verb|to need|3|5
感冒|gǎnmào|verb|to catch a cold|3|5
张|Zhãng||Zhang, a surname|3|5
季节|jìjié|noun|season|3|5
当然|dāngrán|adverb|of course|3|5
春(天)|chūn (tiān)|noun|spring|3|5
草|cǎo|noun|grass|3|5
夏(天)|xià (tiān)|noun|summer|3|5
裙子|qúnzi|noun|dress, skirt|3|5
最近|zuìjìn|adverb|lately, recently|3|5
越|yuè|adverb|more, to a greater degree|3|5
眼镜|yǎnjìng|noun|glasses, spectacles|3|6
突然|túrán|adverb|suddenly|3|6
离开|lì kāi|verb|to leave, to part with|3|6
清楚|qīngchǔ|adjective|clear, distinct|3|6
刚才|gāngcái|noun|just now|3|6
帮忙|bāng máng|verb|to help|3|6
特别|tèbié|adverb|extraordinarily|3|6
讲|jiǎng|verb|to explain|3|6
明白|míngbai|adjective|clear|3|6
锻炼|duànliàn|verb|to do physical exercise|3|6
音乐|yīnyuè|noun|music|3|6
公园|gōngyuán|noun|park|3|6
聊天(儿)|liáotiān(r)|verb|to chat|3|6
睡着|shuì zháo|verb|to fall asleep|3|6
更|gèng|adverb|more, even more|3|6
同事|tóngshì|noun|colleague|3|7
以前|yǐqián|noun|before, ago|3|7
银行|yínháng|noun|bank|3|7
久|jiǔ|adjective|for a long time, long|3|7
感兴趣|gǎn xìngqù||to be interested in|3|7
结婚|jié hūn|verb|to many, to get married|3|7
欢迎|huānyíng|verb|to welcome|3|7
迟到|chídào|verb|to be late|3|7
半|bàn|number|half|3|7
接|jiē|verb|to meet (sb.), to pick up (sb.)|3|7
刻|kè|measure word|quarter|3|7
差|chà|verb|to fall short of|3|7
又|yòu|adverb|again|3|8
满意|mǎnyì|verb|to be satisfied|3|8
电梯|diàntī|noun|elevator|3|8
层|céng|measure word|used for floors|3|8
